Date,site,edge type,replicate,quadrat,burrow.count,Latitude,Longitude
2023-07-30,Dean Creek,slump,1,1,14,31.38954,-81.27963
2023-07-30,Dean Creek,slump,1,2,8,31.38954,-81.27963
2023-07-30,Dean Creek,slump,1,3,23,31.38954,-81.27963
2023-07-30,Dean Creek,scarp,1,1,5,31.38945,-81.27972
2023-07-30,Dean Creek,scarp,1,2,6,31.38945,-81.27972
2023-07-30,Dean Creek,scarp,1,3,8,31.38945,-81.27972
2023-07-30,Dean Creek,slump,2,1,11,31.3897,-81.27978
2023-07-30,Dean Creek,slump,2,2,9,31.3897,-81.27978
2023-07-30,Dean Creek,slump,2,3,16,31.3897,-81.27978
2023-07-30,Dean Creek,slope,1,1,6,31.38895,-81.27993
2023-07-30,Dean Creek,slope,1,2,5,31.38895,-81.27993
2023-07-30,Dean Creek,slope,1,3,4,31.38895,-81.27993
2023-07-30,Dean Creek,slump,3,1,10,31.38871,-81.27978
2023-07-30,Dean Creek,slump,3,2,17,31.38871,-81.27978
2023-07-30,Dean Creek,slump,3,3,21,31.38871,-81.27978
2023-07-30,Dean Creek,slope,2,1,5,31.38877,-81.27981
2023-07-30,Dean Creek,slope,2,2,8,31.38877,-81.27981
2023-07-30,Dean Creek,slope,2,3,7,31.38877,-81.27981
2023-07-30,Dean Creek,slope,3,1,4,31.38884,-81.27983
2023-07-30,Dean Creek,slope,3,2,6,31.38884,-81.27983
2023-07-30,Dean Creek,slope,3,3,6,31.38884,-81.27983
