Date,site,edge type,replicate,rod ID,prey.type,present.absent,time.deployed,time.collected,field personnel,entered by,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,1,squid,1,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,2,squid,1,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,3,squid,1,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,4,squid,1,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,5,squid,1,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,6,squid,0,10:11,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,7,squid,1,10:12,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,8,squid,1,10:12,2:32,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,9,squid,1,10:12,2:33,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,1,10,squid,1,10:12,2:33,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,1,squid,1,10:17,2:39,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,2,squid,1,10:17,2:39,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,3,squid,1,10:17,2:39,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,4,squid,1,10:17,2:39,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,5,squid,1,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,6,squid,0,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,7,squid,1,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,8,squid,1,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,9,squid,1,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,scarp,1,10,squid,1,10:18,2:40,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,1,squid,1,10:21,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,2,squid,1,10:21,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,3,squid,1,10:21,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,4,squid,1,10:21,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,5,squid,1,10:21,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,6,squid,1,10:22,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,7,squid,1,10:22,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,8,squid,1,10:22,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,9,squid,1,10:22,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slope,1,10,squid,1,10:22,2:47,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,1,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,2,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,3,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,4,squid,0,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,5,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,6,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,7,squid,1,10:25,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,8,squid,1,10:26,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,9,squid,1,10:26,2:57,SZ & GG,,,,,,,,,,,,,
6/19/23,Dean Creek,slump,2,10,squid,1,10:26,2:57,SZ & GG,,,,,,,,,,,,,
